0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,,,,,,,,,,,,,,, 123
Table 3.1. Scoreboard for Australia,,,,,,,,,,,,,,,
Indicator,Unit,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,,,,,,,Debt,,,,,,,,
Outstanding business loans SMEs,AUD billion,189,204.6,204.7,225.2,235.9,239.9,243.1,251.4,261.5,271.4,281.4,283.7,426.6,421.2
Outstanding business loans total,AUD billion,699.9,767.3,713.2,689.2,712.7,732.5,744.8,778.2,831.8,875.1,903.9,954.2,976.2,986.9
Share of SME outstanding loans,% of total,27.03,26.66,28.71,32.68,33.11,32.76,32.64,32.30,31.44,31.01,31.13,29.73,43.71,42.68
,business,,,,,,,,,,,,,,
,loans,,,,,,,,,,,,,,
"New business lending, total",AUD billion,375.0,336.1,265.5,265.8,310.7,273.8,292.4,360.5,391.7,341.8,346.0,346.9,..,..
"New business lending, SMEs",AUD billion,77.5,79.9,69.6,82.5,81.6,73.7,79.1,85.4,91.2,86.7,79.7,76.7,185.2,80
Share of new SME lending,% of total,20.67,23.77,26.20,31.04,26.25,26.91,27.06,23.69,23.27,25.37,23.03,22.11,..,..
"Non-performing loans, total",% of all,0.50,2.07,3.27,3.55,3.16,2.68,2.03,1.39,1.01,1.13,0.78,0.81,0.92,1.02
,loans,,,,,,,,,,,,,,
Interest rate SMEs,%,8.66,8.04,7.60,8.40,8.02,7.13,6.54,6.27,5.63,5.36,5.28,5.33,4.18,3.40
"Interest rate, large firms",%,7.95,6.34,5.94,7.02,6.74,5.50,4.77,4.60,3.90,3.49,3.43,3.72,2.48,1.63
Interest rate spread,% points,0.71,1.70,1.66,1.38,1.28,1.62,1.77,1.67,1.73,1.86,1.85,1.61,1.70,1.77
,,,,,,Non-bank finance,,,,,,,,,
Venture and growth capital,AUD billion,,,,,0.46,0.28,0.24,0.30,0.59,0.96,0.98,1.30,1.16,1.67
Venture and growth capital (growth rate),"%, Year-on-",,,,,,-39.05,-13.17,23.36,96.35,63.45,1.76,32.96,-10.56  43.28,
Leasing and hire purchases,AUD billion,9.25,9.28,6.73,6.55,6.90,8.75,7.34,8.77,9.86,8.89,10.14,9.71,9.98,10.53
Factoring and invoicing,AUD billion,54.76,64.99,63.10,58.66,61.42,63.36,63.27,62.39,64.40,..,..,..,..,..
,,,,,,Other indicators,,,,,,,,,
Payment delays B2B,Number of,..,..,..,..,22,20,20,15,13,14,12,11,10,11
Bankruptcies Unincorporated,Number,5 045,4 427,4 426,5 616,5 266,5 858,4 761,4 007,4 088,4 350,4 168,4 291,3815,3 353
Bankruptcies Unincorporated,Per 10 000,42,36,36,45,43,50,42,35,34,36,34,36,26,23
Bankruptcies Corporates,Number,7 489,9 067,9 465,9 605,,10 439  10 583  10 854,,8 822,10 093,8 511,7 819,8 052,8 324,4 943
Bankruptcies Corporates,Per 10 000,48,55,56,54,57,55,54,41,45,36,31,31,30,17
Bankruptcies Total,Per 10 000,45,47,47,50,51,53,49,39,41,36,32,32,29,19
"Invoice payment days, average",Number of,53,56,54,53,54,53,54,53,47,..,..,..,..,..
Outstanding business credit 124 ,AUD billion,111,117,119,122,125,131,136,142,150,157,164,165,244,246
Indicator,Unit,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Outstanding business credit Private trading corporations,AUD billion,500,555,514,500,514,524,531,556,592,626,636,663,619,621
,,The full country profile is available at: https://doi.org/10.1787/e9073a0f-en,,,,,,,,,,,,,
,,,,,,,FINANCING SMES AND ENTREPRENEURS 2022 © OECD 2022,,,,,,,,
